INPUT:text	OUTPUT:complexity	GOLDEN:complexity	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ACCEPT:verdict	ACCEPT:comment
стремлюсь к <mark>цели</mark>, к почести вышнего звания Божия во Христе Иисусе.	1				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b00edcb42528c569d0	9fd9ca93-d934-4e4f-b933-bb15ff8f2daa	0001a04fc4--6127f6b00edcb42528c569d0	38ae0e75ee5d330c03c5884e2949b52f	APPROVED	+	
И многие народы будут проходить через город сей и говорить друг другу: „за что Господь так поступил с этим великим <mark>городом</mark>?'	1				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b00edcb42528c569d0	8cdf9252-a852-4294-a6c5-685f798705b3	0001a04fc4--6127f6b00edcb42528c569d0	38ae0e75ee5d330c03c5884e2949b52f	APPROVED	+	
поэтому немедленно купи на эти деньги волов, овнов, <mark>агнцев</mark> и хлебных приношений к ним и возлияний для них, и принеси их нажертвенник дома Бога вашего в Иерусалиме.	3				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b00edcb42528c569d0	ccee4690-8965-4876-9ea8-d3729257cc2e	0001a04fc4--6127f6b00edcb42528c569d0	38ae0e75ee5d330c03c5884e2949b52f	APPROVED	+	
Можешь ли веревкою привязать единорога к <mark>борозде</mark>, и станет ли он боронить за тобою поле?	2				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b00edcb42528c569d0	a92c0976-2af4-41af-8bfe-c81d81ecd1b7	0001a04fc4--6127f6b00edcb42528c569d0	38ae0e75ee5d330c03c5884e2949b52f	APPROVED	+	
Немедленно поутру первосвященники со старейшинами и книжниками и весь синедрион составили <mark>совещание</mark> и, связав Иисуса, отвели и предали Пилату.	2				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b00edcb42528c569d0	b26cc3f3-fdac-4f23-832e-6f23e90044bc	0001a04fc4--6127f6b00edcb42528c569d0	38ae0e75ee5d330c03c5884e2949b52f	APPROVED	+	
Вы знаете, Филиппийцы, что в начале благовествования, когда я вышел из Македонии, ни одна церковь не оказала мне участия подаянием и <mark>принятием</mark>, кроме вас одних;	3				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b00edcb42528c569d0	b7c833de-37f2-4bd7-97c0-773a2b797c9f	0001a04fc4--6127f6b00edcb42528c569d0	38ae0e75ee5d330c03c5884e2949b52f	APPROVED	+	
(36:6) и выведет, как <mark>свет</mark>, правду твою и справедливость твою, как полдень.	2				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b00edcb42528c569d0	7357b61a-6b17-4d08-acfb-6912f90df095	0001a04fc4--6127f6b00edcb42528c569d0	38ae0e75ee5d330c03c5884e2949b52f	APPROVED	+	
А они подстерегали шаги наши, чтобы мы не могли ходить по улицам нашим; приблизился <mark>конец</mark> наш, дни наши исполнились; пришел конец наш.	1				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b00edcb42528c569d0	bab42716-e100-413f-a4c3-68c5602abbec	0001a04fc4--6127f6b00edcb42528c569d0	38ae0e75ee5d330c03c5884e2949b52f	APPROVED	+	
Когда сделался этот шум, собрался народ, и пришел в смятение, ибо каждый слышал их говорящих его <mark>наречием</mark>.	2				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b00edcb42528c569d0	fa9fac90-4ce8-4a1b-b327-3c77aac645a0	0001a04fc4--6127f6b00edcb42528c569d0	38ae0e75ee5d330c03c5884e2949b52f	APPROVED	+	
И сказал Езекия Исаии: благо слово Господне, которое ты изрек; потому что, присовокупил он, мир и <mark>благосостояние</mark> пребудут во дни мои.	2				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b00edcb42528c569d0	4c156e82-ca99-43aa-bdd1-b544168b5eb4	0001a04fc4--6127f6b00edcb42528c569d0	38ae0e75ee5d330c03c5884e2949b52f	APPROVED	+	
											
Буду нападать на них, как лишенная детей <mark>медведица</mark>, и раздирать вместилище сердца их, и поедать их там, как львица; полевые звери будут терзать их.	1				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b1cb10b530ec42d36a	48b0aa35-5825-4fbe-845c-6148840c2a58	0001a04fc4--6127f6b1cb10b530ec42d36a	fc41b5ddbf391ea26fd442f972aeae74	APPROVED	+	
Вечером налетели перепелы и покрыли стан, а поутру лежала <mark>роса</mark> около стана;	1				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b1cb10b530ec42d36a	85418dc3-f6a0-4467-bcc1-e8a2cc38020a	0001a04fc4--6127f6b1cb10b530ec42d36a	fc41b5ddbf391ea26fd442f972aeae74	APPROVED	+	
Как <mark>алмаз</mark>, который крепче камня, сделал Я чело твое; не бойся их и не страшись перед лицем их, ибо они мятежный дом.	2				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b1cb10b530ec42d36a	4f4a44ab-1d35-493e-9842-60a45a87107b	0001a04fc4--6127f6b1cb10b530ec42d36a	fc41b5ddbf391ea26fd442f972aeae74	APPROVED	+	
И осквернил он Тофет, что на долине сыновей Еннома, чтобы никто не проводил сына своего и <mark>дочери</mark> своей чрез огонь Молоху;	1				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b1cb10b530ec42d36a	4d9d90dd-f11e-42da-9a15-e2d6df518baa	0001a04fc4--6127f6b1cb10b530ec42d36a	fc41b5ddbf391ea26fd442f972aeae74	APPROVED	+	
Кто побеждает и соблюдает дела Мои до конца, тому дам <mark>власть</mark> над язычниками,	2				https://toloka.yandex.ru/task/27283396/0001a04fc4--6127f6b1cb10b530ec42d36a	26448c59-ab18-400a-9dfa-895439c9de0f	0001a04fc4--6127f6b1cb10b530ec42d36a	fc41b5ddbf391ea26fd442f972aeae74	APPROVED	+	
