INPUT:text	OUTPUT:complexity	GOLDEN:complexity	HINT:text	HINT:default_language	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:started	ASSIGNMENT:submitted
В чрезвычайных обстоятельствах для наложения ареста на имущество следователь может назначить соответствующее лицо и уведомить <mark>прокурора</mark> о принятых мерах .	3				743eb115-71ed-41ac-b4d9-48b30197e182	00024bafcb--642fdc6b497bb16fa88feab8	f60b2abdfe75c2576b726769537ca00b	2023-04-07T09:03:39.974	2023-04-07T09:04:13.982
F. solani var. coeruleum: кольцевая гниль с концентрическими <mark>морщинами</mark> на кожице и белым, оранжевым или голубым мицелием на поверхности.	2				427bbdf8-77ab-4418-acd1-8c88a4c4c35e	00024bafcb--642fdc6b497bb16fa88feab8	f60b2abdfe75c2576b726769537ca00b	2023-04-07T09:03:39.974	2023-04-07T09:04:13.982
Три синих конуса можно заменить тремя синими конусами на носу и тремя синими конусами на корме судна на <mark>высоте</mark> не менее 3 м.	2				ff12a91b-e72f-4343-b4d2-7c53117ddb30	00024bafcb--642fdc6b497bb16fa88feab8	f60b2abdfe75c2576b726769537ca00b	2023-04-07T09:03:39.974	2023-04-07T09:04:13.982
В период 2012−2014 годов организовано три дополнительных рабочих совещания: в Москве (2012 год), <mark>Алматы</mark> (2013 год) и Каунасе (2014 год).	2				2212c37e-3f3e-4a84-806d-52f807d12876	00024bafcb--642fdc6b497bb16fa88feab8	f60b2abdfe75c2576b726769537ca00b	2023-04-07T09:03:39.974	2023-04-07T09:04:13.982
2003 - 2012 <mark>годы</mark>: член Государственного совета (выполняет функции юрисконсультанта правительства и высшего административного суда Франции)	1				d223580f-ae54-436b-b524-e34252233424	00024bafcb--642fdc6b497bb16fa88feab8	f60b2abdfe75c2576b726769537ca00b	2023-04-07T09:03:39.974	2023-04-07T09:04:13.982
Кроме того, в случае утраты таких <mark>товаров</mark> возникают значительные затруднения, связанные с взысканием причитающихся таможенных платежей в полном объеме, что наносит ущерб бюджету Российской Федерации.	2				5a925abe-9fb1-460c-b231-3efe71c6c0b6	00024bafcb--642fdc6b497bb16fa88feab8	f60b2abdfe75c2576b726769537ca00b	2023-04-07T09:03:39.974	2023-04-07T09:04:13.982
Потребительское доверие, по всей видимости, восстанавливается, обеспечивая условия для увеличения спроса на готовые изделия, в частности на еду, <mark>одежду</mark>, автомобили и бытовую электронику.	1				4e9ee72e-6964-422d-af4f-8a023251cf86	00024bafcb--642fdc6b497bb16fa88feab8	f60b2abdfe75c2576b726769537ca00b	2023-04-07T09:03:39.974	2023-04-07T09:04:13.982
Процедура выбора новых <mark>учебников</mark> включает в себя проверку того, чтобы информация в них была представлена без дискриминации.	1				19d99764-91db-4a0d-9036-0dcf585f0232	00024bafcb--642fdc6b497bb16fa88feab8	f60b2abdfe75c2576b726769537ca00b	2023-04-07T09:03:39.974	2023-04-07T09:04:13.982
и телекоммуникаций в контексте международной безопасности -- Достижения в сфере <mark>информатизации</mark> и телекоммуникаций в контексте международной безопасности -- Доклад Генерального секретаря [А Ар. И К Р Ф] -- 8 стр.	4				b631b8fa-27d9-4a76-bd70-525ed3576384	00024bafcb--642fdc6b497bb16fa88feab8	f60b2abdfe75c2576b726769537ca00b	2023-04-07T09:03:39.974	2023-04-07T09:04:13.982
Они приводят к моральной подавленности, низкой производительности, увеличению количества прогулов и отпусков по болезни, а также отвлекают внимание от работы по <mark>существу</mark>.	2				28e3e63f-5f7a-4209-8c6c-8af89c67b176	00024bafcb--642fdc6b497bb16fa88feab8	f60b2abdfe75c2576b726769537ca00b	2023-04-07T09:03:39.974	2023-04-07T09:04:13.982
Они высоко оценили <mark>действия</mark> ливийских властей и всех тех, кто участвовал в успешной подготовке этого процесса и руководил им.	1				e8efd5ce-1a97-4fac-9de7-855e5b42015e	00024bafcb--642fdc712d2ec01530c6f31f	bd06b4589827a2162c79f5d76770224b	2023-04-07T09:03:45.210	2023-04-07T09:04:01.655
Как указывалось ранее, более подробная информация о <mark>терапии</mark> отравлений фосфорорганическими инсектицидами содержится в документе <<EHC No. 63: Organophosphorus insecticides - a general introduction>>.	1				976871e9-45bd-4d41-9baa-7053e10c958d	00024bafcb--642fdc712d2ec01530c6f31f	bd06b4589827a2162c79f5d76770224b	2023-04-07T09:03:45.210	2023-04-07T09:04:01.655
<mark>Француженки</mark>, которым ордонанс от 21 апреля 1944 года предоставил право избирать и быть избранными, пока еще недостаточно представлены на некоторых выборных должностях.	1				6a02342b-69c3-4b66-9e52-00020f7ffa5c	00024bafcb--642fdc712d2ec01530c6f31f	bd06b4589827a2162c79f5d76770224b	2023-04-07T09:03:45.210	2023-04-07T09:04:01.655
Во время погрузки и разгрузки быстродействующие запорные клапаны должны закрываться с помощью <mark>выключателя</mark>, с тем чтобы в аварийной ситуации можно было прервать погрузку или разгрузку.	1				8b61e6f7-adc0-4ba4-bb4c-169f3b89c146	00024bafcb--642fdc712d2ec01530c6f31f	bd06b4589827a2162c79f5d76770224b	2023-04-07T09:03:45.210	2023-04-07T09:04:01.655
54. Усилия Бюро по вопросам этики в области информационно-просветительской деятельности, профессиональной подготовки и обучения; этики закупочной деятельности; и раскрытия финансовой информации заслуживают <mark>похвалы</mark>.	1				f5a4f8dd-17f8-442c-ae49-c15c91755299	00024bafcb--642fdc712d2ec01530c6f31f	bd06b4589827a2162c79f5d76770224b	2023-04-07T09:03:45.210	2023-04-07T09:04:01.655
Изменился порядок реализации не подлежащего передаче права <mark>отцов</mark> на отпуск по уходу за ребенком, составляющий в общей сложности 90 дней.	1				dfae5da1-564a-46ad-90be-de9d7e9ea2cd	00024bafcb--642fdc712d2ec01530c6f31f	bd06b4589827a2162c79f5d76770224b	2023-04-07T09:03:45.210	2023-04-07T09:04:01.655
21. Группа экспертов поддержала включение новой статьи 10-бис с целью более эффективного соблюдения требований и содействия обмену информацией о выдаче <mark>карточек</mark> цифрового тахографа (ECE/TRANS/SC.1/GE.21/18, пункт 10).	1				edb479b9-1183-44f9-9f6b-a75a4512553f	00024bafcb--642fdc712d2ec01530c6f31f	bd06b4589827a2162c79f5d76770224b	2023-04-07T09:03:45.210	2023-04-07T09:04:01.655
:: Учебный курс по развитию навыков для специалистов в области аналитической <mark>химии</mark> (Киев, 20 - 25 мая 2013 года).	1				ac21ee5c-977e-4e5b-9d4a-a385d8c6054a	00024bafcb--642fdc712d2ec01530c6f31f	bd06b4589827a2162c79f5d76770224b	2023-04-07T09:03:45.210	2023-04-07T09:04:01.655
Дети с нарушениями слуха, зрения, функций опорно-двигательного аппарата, речи, задержкой психического развития с сохраненным интеллектом занимаются по <mark>учебникам</mark> и учебно-методическим комплектам общеобразовательных школ, обеспеченность которых составляет 100 %.	1				c4cd2cd3-38f3-4b4b-ab87-b34f0d331cbc	00024bafcb--642fdc712d2ec01530c6f31f	bd06b4589827a2162c79f5d76770224b	2023-04-07T09:03:45.210	2023-04-07T09:04:01.655
11. 28 ноября гн Леон и член международного жюри Майкл Гомес из Нью-Йоркского <mark>университета</mark> представили проект-победитель в ходе состоявшегося за обедом обсуждения.	1				f6a8af2e-b0d9-4cf0-8c40-5630c9315065	00024bafcb--642fdc712d2ec01530c6f31f	bd06b4589827a2162c79f5d76770224b	2023-04-07T09:03:45.210	2023-04-07T09:04:01.655
Комитет констатирует, что государство-участник, выражая несогласие в отношении масштабов такого отслеживания, признает, что покинувшим <mark>родину</mark> активным диссидентам угрожают преследования по их возвращении в Исламскую Республику Иран.	1				492e48b7-6706-4e57-9aec-fa3f2f2e4316	00024bafcb--642fdc79c211ef582510ebd1	4799602554914222b606c1c3245bd0bc	2023-04-07T09:03:53.068	2023-04-07T09:04:20.002
В настоящее время в состав арбитража входят Рюдигер Вольфрум (Германия) (председатель), Томас Менсах (Гана), Пеммараджу Сриниваса Рао (Индия), <mark>Иван</mark> Ширер (Австралия) и Жан-Пьер Кот (Франция).	1				424c7685-26d7-478a-8085-23a7465542ac	00024bafcb--642fdc79c211ef582510ebd1	4799602554914222b606c1c3245bd0bc	2023-04-07T09:03:53.068	2023-04-07T09:04:20.002
1. После вступления в <mark>силу</mark> настоящего Протокола в него могут вноситься поправки в соответствии с процедурой, определенной в настоящей статье.	1				2ce5250c-5686-4a83-9e17-b67162c7282c	00024bafcb--642fdc79c211ef582510ebd1	4799602554914222b606c1c3245bd0bc	2023-04-07T09:03:53.068	2023-04-07T09:04:20.002
В рекламных блоках женщину, как правило, изображают как домашнюю <mark>хозяйку</mark>, как сексуальный объект, ассоциирующийся с продвигаемым продуктом, или как покупателя различных видов товаров.	1				639b640e-8a43-463a-b8fc-500196ae54a6	00024bafcb--642fdc79c211ef582510ebd1	4799602554914222b606c1c3245bd0bc	2023-04-07T09:03:53.068	2023-04-07T09:04:20.002
"d) совещание экспертов по теме ""Передовая практика по усилению эффекта торговли [в том числе применительно к женщинам-мигрантам] в ракурсе расширения прав и <mark>возможностей</mark> женщин""."	1				320dbfe0-748f-47c3-ae0e-60711909b3b2	00024bafcb--642fdc79c211ef582510ebd1	4799602554914222b606c1c3245bd0bc	2023-04-07T09:03:53.068	2023-04-07T09:04:20.002
"Надпись ""ПРЕДУПРЕЖДЕНИЕ"" должна быть выполнена красным или белым <mark>цветом</mark> при высоте букв не менее 25 мм."	1				d83eff01-2d5b-4e27-a687-ab254f190f20	00024bafcb--642fdc79c211ef582510ebd1	4799602554914222b606c1c3245bd0bc	2023-04-07T09:03:53.068	2023-04-07T09:04:20.002
102. Норвежский закон разрешает использование принуждения при <mark>лечении</mark> некоторых лиц с ограниченными умственными способностями и людей с серьезными психическими расстройствами при определенных условиях.	1				65f715e8-df39-4609-9e08-c82d551646b8	00024bafcb--642fdc79c211ef582510ebd1	4799602554914222b606c1c3245bd0bc	2023-04-07T09:03:53.068	2023-04-07T09:04:20.002
Миссия также продолжит добиваться <mark>выполнения</mark> на уровне страны состоящего из семи пунктов плана действий по обеспечению участия женщин в процессах миростроительства.	1				4d85908b-5a9a-414e-87df-986fb8d8355c	00024bafcb--642fdc79c211ef582510ebd1	4799602554914222b606c1c3245bd0bc	2023-04-07T09:03:53.068	2023-04-07T09:04:20.002
В общей сложности 12,4 млн. человек, живущих в 1 525 муниципиях, в которых имеется отделение почтового <mark>банка</mark>, ранее не имели банковского учреждения.	1				83eebc2f-8136-4337-83b9-1f8546bfda6e	00024bafcb--642fdc79c211ef582510ebd1	4799602554914222b606c1c3245bd0bc	2023-04-07T09:03:53.068	2023-04-07T09:04:20.002
Эти <mark>задачи</mark> будут осуществляться путем подготовки своевременных, качественных докладов по результатам инспекций, оценок, внутренних ревизий и расследований в соответствии с применимыми профессиональными стандартами.	1				793112aa-453b-4550-84cb-5caa1cfe2223	00024bafcb--642fdc79c211ef582510ebd1	4799602554914222b606c1c3245bd0bc	2023-04-07T09:03:53.068	2023-04-07T09:04:20.002
Комитет констатирует, что государство-участник, выражая несогласие в отношении масштабов такого отслеживания, признает, что покинувшим <mark>родину</mark> активным диссидентам угрожают преследования по их возвращении в Исламскую Республику Иран.	2				492e48b7-6706-4e57-9aec-fa3f2f2e4316	00024bafcb--642fdc7b0dc3092cc77f4b44	c1ad0e2e54ad5203bc41b6fbac53da5e	2023-04-07T09:03:55.890	2023-04-07T09:04:21.954
В настоящее время в состав арбитража входят Рюдигер Вольфрум (Германия) (председатель), Томас Менсах (Гана), Пеммараджу Сриниваса Рао (Индия), <mark>Иван</mark> Ширер (Австралия) и Жан-Пьер Кот (Франция).	1				424c7685-26d7-478a-8085-23a7465542ac	00024bafcb--642fdc7b0dc3092cc77f4b44	c1ad0e2e54ad5203bc41b6fbac53da5e	2023-04-07T09:03:55.890	2023-04-07T09:04:21.954
1. После вступления в <mark>силу</mark> настоящего Протокола в него могут вноситься поправки в соответствии с процедурой, определенной в настоящей статье.	2				2ce5250c-5686-4a83-9e17-b67162c7282c	00024bafcb--642fdc7b0dc3092cc77f4b44	c1ad0e2e54ad5203bc41b6fbac53da5e	2023-04-07T09:03:55.890	2023-04-07T09:04:21.954
В рекламных блоках женщину, как правило, изображают как домашнюю <mark>хозяйку</mark>, как сексуальный объект, ассоциирующийся с продвигаемым продуктом, или как покупателя различных видов товаров.	2				639b640e-8a43-463a-b8fc-500196ae54a6	00024bafcb--642fdc7b0dc3092cc77f4b44	c1ad0e2e54ad5203bc41b6fbac53da5e	2023-04-07T09:03:55.890	2023-04-07T09:04:21.954
"d) совещание экспертов по теме ""Передовая практика по усилению эффекта торговли [в том числе применительно к женщинам-мигрантам] в ракурсе расширения прав и <mark>возможностей</mark> женщин""."	3				320dbfe0-748f-47c3-ae0e-60711909b3b2	00024bafcb--642fdc7b0dc3092cc77f4b44	c1ad0e2e54ad5203bc41b6fbac53da5e	2023-04-07T09:03:55.890	2023-04-07T09:04:21.954
"Надпись ""ПРЕДУПРЕЖДЕНИЕ"" должна быть выполнена красным или белым <mark>цветом</mark> при высоте букв не менее 25 мм."	2				d83eff01-2d5b-4e27-a687-ab254f190f20	00024bafcb--642fdc7b0dc3092cc77f4b44	c1ad0e2e54ad5203bc41b6fbac53da5e	2023-04-07T09:03:55.890	2023-04-07T09:04:21.954
102. Норвежский закон разрешает использование принуждения при <mark>лечении</mark> некоторых лиц с ограниченными умственными способностями и людей с серьезными психическими расстройствами при определенных условиях.	2				65f715e8-df39-4609-9e08-c82d551646b8	00024bafcb--642fdc7b0dc3092cc77f4b44	c1ad0e2e54ad5203bc41b6fbac53da5e	2023-04-07T09:03:55.890	2023-04-07T09:04:21.954
Миссия также продолжит добиваться <mark>выполнения</mark> на уровне страны состоящего из семи пунктов плана действий по обеспечению участия женщин в процессах миростроительства.	2				4d85908b-5a9a-414e-87df-986fb8d8355c	00024bafcb--642fdc7b0dc3092cc77f4b44	c1ad0e2e54ad5203bc41b6fbac53da5e	2023-04-07T09:03:55.890	2023-04-07T09:04:21.954
В общей сложности 12,4 млн. человек, живущих в 1 525 муниципиях, в которых имеется отделение почтового <mark>банка</mark>, ранее не имели банковского учреждения.	2				83eebc2f-8136-4337-83b9-1f8546bfda6e	00024bafcb--642fdc7b0dc3092cc77f4b44	c1ad0e2e54ad5203bc41b6fbac53da5e	2023-04-07T09:03:55.890	2023-04-07T09:04:21.954
Эти <mark>задачи</mark> будут осуществляться путем подготовки своевременных, качественных докладов по результатам инспекций, оценок, внутренних ревизий и расследований в соответствии с применимыми профессиональными стандартами.	2				793112aa-453b-4550-84cb-5caa1cfe2223	00024bafcb--642fdc7b0dc3092cc77f4b44	c1ad0e2e54ad5203bc41b6fbac53da5e	2023-04-07T09:03:55.890	2023-04-07T09:04:21.954
Одним из примеров является национальная политика на период 2007−2017 годов, которая была поддержана женскими организациями и другими <mark>слоями</mark> гражданского общества.	1				55f2583e-fadc-49ac-bcc1-cab587d6cea7	00024bafcb--642fdc8264aa503006bbec07	259ef3f22b0d257156de4fab895d994f	2023-04-07T09:04:02.710	2023-04-07T09:04:22.667
Так, технические дисциплины и точные науки изучают меньше женщин, чем мужчин (18,75 процента в области инженерных наук и 28,57 процента в агрономических <mark>науках</mark>).	1				8000d1ed-dca1-4ae3-a545-34847a192f85	00024bafcb--642fdc8264aa503006bbec07	259ef3f22b0d257156de4fab895d994f	2023-04-07T09:04:02.710	2023-04-07T09:04:22.667
На выборах 2014 года в Совет представителей предусмотрена система электронных отпечатков <mark>пальцев</mark> и электронных карточек.	2				5778128c-62d8-4291-b0af-0ec46668b090	00024bafcb--642fdc8264aa503006bbec07	259ef3f22b0d257156de4fab895d994f	2023-04-07T09:04:02.710	2023-04-07T09:04:22.667
Правительство Китая высказало мнение, что кетамин, являющийся производным фенциклидина и психотропным <mark>веществом</mark>, злоупотребление которым на региональном и глобальном уровнях приобрело широкие масштабы, следует включить в Список I Конвенции 1971 года.	2				287314e8-0399-40b4-9716-b4eca3219bd7	00024bafcb--642fdc8264aa503006bbec07	259ef3f22b0d257156de4fab895d994f	2023-04-07T09:04:02.710	2023-04-07T09:04:22.667
Первоначальные и окончательные показатели концентрации водорода, температуры и барометрического давления используются для расчета изменения по массе по следующей <mark>формуле</mark>:	2				764de4e3-d660-46a6-85d0-23c59447c674	00024bafcb--642fdc8264aa503006bbec07	259ef3f22b0d257156de4fab895d994f	2023-04-07T09:04:02.710	2023-04-07T09:04:22.667
